epoch_millis,local_time,event,variant,scheduled_epoch,scheduled_local,delay_seconds,idle,power_save,batt_opt_ignored,interactive,note
1787145593289,2026-08-19 18:49:53.289,SCHEDULE_FAILED,ALARM_CLOCK,1787145713287,2026-08-19 18:51:53.287,-119.998,0,0,0,1,SecurityException: Caller com.timeapp.alarm_spike needs to hold android.permission.SCHEDULE_EXACT_ALARM or android.permission.USE_EXACT_ALARM to set exact alarms.
1787145593292,2026-08-19 18:49:53.292,SCHEDULE_FAILED,EXACT_IDLE,1787145713287,2026-08-19 18:51:53.287,-119.995,0,0,0,1,SecurityException: Caller com.timeapp.alarm_spike needs to hold android.permission.SCHEDULE_EXACT_ALARM or android.permission.USE_EXACT_ALARM to set exact alarms.
1787145593294,2026-08-19 18:49:53.294,SCHEDULED,INEXACT_IDLE,1787145713287,2026-08-19 18:51:53.287,-119.993,0,0,0,1,
1787145593302,2026-08-19 18:49:53.302,SCHEDULED,WORKMANAGER,1787145713287,2026-08-19 18:51:53.287,-119.985,0,0,0,1,
1787145602428,2026-08-19 18:50:02.428,SCHEDULE_FAILED,ALARM_CLOCK,1787145722426,2026-08-19 18:52:02.426,-119.998,0,0,0,1,SecurityException: Caller com.timeapp.alarm_spike needs to hold android.permission.SCHEDULE_EXACT_ALARM or android.permission.USE_EXACT_ALARM to set exact alarms.
1787145602430,2026-08-19 18:50:02.430,SCHEDULE_FAILED,EXACT_IDLE,1787145722426,2026-08-19 18:52:02.426,-119.996,0,0,0,1,SecurityException: Caller com.timeapp.alarm_spike needs to hold android.permission.SCHEDULE_EXACT_ALARM or android.permission.USE_EXACT_ALARM to set exact alarms.
1787145602432,2026-08-19 18:50:02.432,SCHEDULED,INEXACT_IDLE,1787145722426,2026-08-19 18:52:02.426,-119.994,0,0,0,1,
1787145602433,2026-08-19 18:50:02.433,SCHEDULED,WORKMANAGER,1787145722426,2026-08-19 18:52:02.426,-119.993,0,0,0,1,
1787145745516,2026-08-19 18:52:25.516,APP_OPEN,,,,,0,0,0,1,
1787145812436,2026-08-19 18:53:32.436,FIRED,INEXACT_IDLE,1787145722426,2026-08-19 18:52:02.426,90.010,0,0,0,1,receiver
1787145830148,2026-08-19 18:53:50.148,SCHEDULED,ALARM_CLOCK,1787145950146,2026-08-19 18:55:50.146,-119.998,0,0,0,1,
1787145830151,2026-08-19 18:53:50.151,SCHEDULED,EXACT_IDLE,1787145950146,2026-08-19 18:55:50.146,-119.995,0,0,0,1,
1787145830154,2026-08-19 18:53:50.154,SCHEDULED,INEXACT_IDLE,1787145950146,2026-08-19 18:55:50.146,-119.992,0,0,0,1,
1787145830162,2026-08-19 18:53:50.162,SCHEDULED,WORKMANAGER,1787145950146,2026-08-19 18:55:50.146,-119.984,0,0,0,1,
1787145950287,2026-08-19 18:55:50.287,FIRED,EXACT_IDLE,1787145950146,2026-08-19 18:55:50.146,0.141,0,0,0,1,receiver
